POA_CODE_2016,irradiation
POA3220,4.105
POA3221,4.087647058823529
POA3222,4.15
POA3223,4.036666666666666
POA3224,4.15
POA3225,4.15
POA3226,4.15
POA3227,4.15
POA3228,4.15
POA3230,4.15
POA3231,4.15
POA3232,3.91
POA3233,3.91
POA3235,3.91
POA3236,3.91
POA3237,3.9050000000000002
POA3238,3.91
POA3239,3.91
POA3240,4.15
POA3241,4.15
POA3242,3.91
POA3243,3.91
POA3249,3.9099999999999984
POA3250,3.91
POA3251,3.9333333333333336
POA3254,3.91
POA3260,3.966
POA3264,4.05
POA3265,4.05
POA3266,3.966
POA3267,3.91
POA3268,4.015
POA3269,3.91
POA3270,4.05
POA3271,4.05
POA3272,4.05
POA3273,4.05
POA3274,4.05
POA3276,4.05
POA3277,4.05
POA3278,4.05
POA3279,4.05
POA3280,4.05
POA3281,4.05
POA3282,4.05
POA3283,4.05
POA3284,4.05
POA3285,4.0
POA3286,4.01
POA3287,4.05
POA3289,4.01
POA3292,4.21
POA3293,4.01
POA3294,4.01
POA3300,4.01
POA3301,4.02
POA3302,4.01
POA3303,3.9
POA3304,4.003333333333333
POA3305,3.9
POA3309,4.01
POA3310,4.01
POA3311,4.01
POA3312,4.122
POA3314,4.01
POA3315,4.01
POA3317,4.01
POA3318,4.1433333333333335
POA3319,4.21
POA3321,3.98
POA3322,3.98
POA3323,3.98
POA3324,4.05
POA3325,4.05
POA3328,3.98
POA3329,3.98
POA3330,3.98
POA3331,4.008333333333334
POA3332,3.98
POA3333,3.98
POA3334,3.98
POA3335,3.98
POA3337,3.98
POA3338,3.98
POA3340,3.98
POA3341,3.98
POA3342,4.02
POA3350,4.0600000000000005
POA3351,4.05
POA3352,4.055897435897437
POA3353,4.06
POA3354,4.06
POA3355,4.06
POA3356,4.06
POA3357,4.06
POA3360,4.06
POA3361,4.035
POA3363,4.06
POA3364,4.0600000000000005
POA3370,4.06
POA3371,4.09
POA3373,4.06
POA3374,4.01
POA3375,4.01
POA3377,4.01
POA3378,4.01
POA3379,4.029999999999999
POA3380,4.01
POA3381,4.01
POA3384,4.01
POA3385,4.01
POA3387,4.33
POA3388,4.33
POA3390,4.33
POA3391,4.33
POA3392,4.33
POA3393,4.33
POA3395,4.33
POA3396,4.33
POA3400,4.33
POA3401,4.265999999999999
POA3402,4.33
POA3407,4.01
POA3409,4.33
POA3412,4.33
POA3413,4.33
POA3414,4.33
POA3415,4.33
POA3418,4.33
POA3419,4.33
POA3420,4.33
POA3423,4.33
POA3424,4.33
POA3427,3.98
POA3428,3.98
POA3429,3.98
POA3430,3.98
POA3431,3.98
POA3432,3.98
POA3434,3.98
POA3435,3.98
POA3437,3.98
POA3438,3.98
POA3440,3.98
POA3441,3.98
POA3442,3.98
POA3444,4.31
POA3446,4.42
POA3447,4.42
POA3448,4.42
POA3450,4.42
POA3451,4.368571428571429
POA3453,4.42
POA3458,4.033333333333332
POA3460,4.06
POA3461,4.1
POA3462,4.41
POA3463,4.42
POA3464,4.42
POA3465,4.081
POA3467,4.01
POA3468,4.01
POA3469,4.01
POA3472,4.420000000000001
POA3475,4.215
POA3478,4.01
POA3480,4.33
POA3482,4.33
POA3483,4.68
POA3485,4.68
POA3487,4.68
POA3488,4.68
POA3490,5.16
POA3494,5.16
POA3496,5.076666666666667
POA3498,5.16
POA3500,5.16
POA3501,5.16
POA3502,5.16
POA3505,5.16
POA3515,4.42
POA3516,4.42
POA3517,4.42
POA3518,4.420000000000001
POA3520,4.42
POA3521,4.43
POA3522,4.43
POA3523,4.426666666666667
POA3525,4.42
POA3527,4.68
POA3529,4.68
POA3530,4.68
POA3531,4.68
POA3533,4.68
POA3537,4.68
POA3540,4.68
POA3542,4.68
POA3544,4.68
POA3546,4.68
POA3549,5.16
POA3550,4.405555555555556
POA3551,4.420000000000001
POA3552,4.42
POA3555,4.42
POA3556,4.412000000000001
POA3557,4.42
POA3558,4.42
POA3559,4.425
POA3561,4.42
POA3562,4.7
POA3563,4.42
POA3564,4.7
POA3565,4.42
POA3566,4.7
POA3567,4.7
POA3568,4.7
POA3570,4.42
POA3571,4.42
POA3572,4.42
POA3573,4.42
POA3575,4.506666666666667
POA3576,4.42
POA3579,4.68
POA3580,4.68
POA3581,4.68
POA3583,4.68
POA3584,4.68
POA3585,4.68
POA3588,4.68
POA3589,4.68
POA3590,4.68
POA3591,4.68
POA3594,4.68
POA3595,4.68
POA3596,4.68
POA3597,4.68
POA3599,4.68
POA3607,4.43
POA3608,4.43
POA3610,4.43
POA3612,4.43
POA3614,4.43
POA3616,4.43
POA3617,4.43
POA3618,4.43
POA3619,4.43
POA3620,4.4975
POA3621,4.52
POA3622,4.5600000000000005
POA3623,4.43
POA3624,4.43
POA3629,4.43
POA3630,4.34
POA3631,4.43
POA3632,4.43
POA3633,4.43
POA3634,4.555
POA3635,4.7
POA3636,4.6899999999999995
POA3637,4.7
POA3638,4.7
POA3639,4.7
POA3640,4.7
POA3641,4.7
POA3643,4.68
POA3644,4.685
POA3646,4.68
POA3647,4.43
POA3649,4.68
POA3658,4.34
POA3659,4.43
POA3660,4.43
POA3661,4.43
POA3663,4.43
POA3664,4.43
POA3665,4.43
POA3666,4.43
POA3669,4.43
POA3670,4.43
POA3671,4.68
POA3672,4.68
POA3673,4.555
POA3675,4.68
POA3676,4.68
POA3677,4.68
POA3678,4.604
POA3682,4.68
POA3683,4.68
POA3685,4.63
POA3687,4.68
POA3688,4.33
POA3689,4.33
POA3690,4.33
POA3691,4.329999999999999
POA3694,4.33
POA3695,4.33
POA3697,4.3
POA3698,4.3
POA3699,4.3
POA3700,4.33
POA3701,4.318
POA3704,4.33
POA3705,4.33
POA3707,4.343333333333333
POA3708,4.44
POA3709,4.33
POA3711,4.43
POA3712,4.43
POA3713,4.43
POA3714,4.43
POA3715,4.43
POA3717,4.34
POA3718,4.43
POA3719,4.43
POA3720,4.43
POA3722,4.365
POA3723,4.168333333333334
POA3724,4.43
POA3725,4.68
POA3726,4.68
POA3727,4.68
POA3728,4.68
POA3730,4.68
POA3732,4.68
POA3733,4.3
POA3735,4.33
POA3736,4.33
POA3737,4.318
POA3738,4.3
POA3739,4.3
POA3740,4.3
POA3741,4.3
POA3744,4.3
POA3746,4.68
POA3747,4.33
POA3749,4.33
POA3750,3.98
POA3751,3.98
POA3752,4.12
POA3753,3.98
POA3754,4.05
POA3755,3.98
POA3756,3.98
POA3757,3.9799999999999995
POA3758,3.98
POA3759,4.12
POA3760,4.12
POA3761,4.12
POA3762,3.98
POA3763,4.12
POA3764,3.98
POA3765,3.92
POA3767,3.92
POA3770,3.92
POA3775,4.12
POA3777,4.02
POA3778,3.92
POA3779,3.92
POA3781,3.92
POA3782,3.92
POA3783,3.92
POA3786,3.92
POA3787,3.92
POA3788,3.92
POA3789,3.92
POA3792,3.92
POA3793,3.92
POA3795,3.92
POA3796,3.92
POA3797,3.9200000000000004
POA3799,3.92
POA3800,
POA3802,3.92
POA3803,4.29
POA3804,
POA3805,4.29
POA3806,4.29
POA3807,4.29
POA3809,4.29
POA3810,4.29
POA3812,4.29
POA3813,4.29
POA3814,4.196666666666666
POA3815,4.196666666666666
POA3816,4.046666666666667
POA3818,3.995
POA3820,3.84
POA3821,3.84
POA3822,4.805
POA3823,3.84
POA3824,3.84
POA3825,3.840000000000001
POA3831,3.84
POA3832,3.84
POA3833,3.84
POA3835,3.84
POA3840,3.84
POA3842,3.84
POA3844,3.84
POA3847,3.9933333333333336
POA3850,4.3
POA3851,4.271111111111111
POA3852,4.88
POA3853,4.3
POA3854,3.84
